Office,country,state,address,email,fax,phone
GM-CS Asia-Field-ANZ-Australia-Sydney,AU,null,"American Consulate General,US Commercial Service,Level 59, MLC Centre,19-29 Martin Place,Sydney NSW 2000",office.australia@trade.gov,,011-61-2-9373-9202
GM-CS EUR-Field-GEAUS-Germany-Dusseldorf,DE,null,"American Consulate General,US Commercial Service,Willi-Becker-Allee 10,40227 Dusseldorf",Office.Dusseldorf@trade.gov,+49 211 737 767 67,+49 211 737 767 0
GM-CS Asia-Field-Pakistan-Lahore,PK,null,"American Consulate,50 Shahrah-E-Bin Badees,Lahore",Aftab.Qamar@trade.gov,92-42-603-4229,92-42-603-4000
GM-CS EUR-Field-SPG-Lisbon,PT,null,"American Embassy Lisbon,U.S. Commercial Service,Avenida das Forcas Armadas,1649-044 Lisbon",Office.Lisbon@trade.gov,011-351-21-726-8914,011-351-21-770 2528 / 727 3300
GM-CS Asia-Field-ASEAN-Rangoon,MM,null,"American Embassy Rangoon,US Commercial Service,110 University Ave,Kamayut Township 11041,Yangon, Myanmar",DesaiMS@state.gov,,95-1 536-509 x4435
GM-CS Asia-Field-ANZ-Australia-Canberra,AU,null,"American Embassy,Attn: U.S. Commercial Service,Moonah Place,Yarralumla  ACT 2600,AUSTRALIA",Office.Australia@trade.gov,011-61-2-9221-0573,011-61-2-9373-9205
GM-CS MEA-Field-NorthAfrica-Amman,JO,null,"American Embassy,Commercial Section,Umaween Street, Abdoun Area,P.O. Box 354,Amman 11118 Jordan",office.amman@trade.gov,011-962-6-592-0146,011-962-6-590-6632
GM-CS Asia-Field-Pakistan-Islamabad,PK,null,"American Embassy,Diplomatic Enclave,Ramna-5,Islamabad, PAKISTAN",Steve.Knode@trade.gov,92-51-282-3981,92-51-201-4000
GM-CS MEA-Field-Gulf-UAE-AbuDhabi,AE,null,"American Embassy,Embassies District,Plot 38, Sector W59-02,Street No 4,Abu Dhabi, UAE",Office.Abudhabi@trade.gov,971-2-414-2228,971-2-414-2304
GM-CS EUR-Field-Benelux-TheHague,NL,null,"American Embassy,John Adams Park 1,2244 BZ Wassenaar",office.netherlands@trade.gov,N/A,+31-70-3102417
GM-CS WH-Field-Mexico-MexicoCity,MX,null,"American Embassy,U.S. Commercial Service - Mexico City,Liverpool 31, Col. Juarez,06600 Mexico, D.F.",Office.MexicoCity@trade.gov,52-55-5080-2199,52-55-5080-2000
GM-CS Asia-Field-Japan-Tokyo,JP,null,"American Embassy,U.S. Commercial Service,1-10-5 Akasaka, Minato-ku,Tokyo 107-8420",Office.Tokyo@trade.gov,81-3-3224-5064,81-3-3224-5060
GM-CS EUR-Field-RSCO-Bucharest,BG,null,"American Embassy,U.S. Commercial Service,16, Kozyak St.,1408 Sofia,Bulgaria",Office.Sofia@trade.gov,359-2-939-5735,359-2-939-5784
GM-CS Asia-Field-ASEAN-Singapore,SG,null,"American Embassy,U.S. Commercial Service,27 Napier Road,Singapore,258508",office.singapore@trade.gov,65-6476-9080,65-6476-9037
GM-CS EUR-Field-GEAUS-Germany-Berlin,DE,null,"American Embassy,U.S. Commercial Service,Clayallee 170,14191 Berlin",Office.Berlin@trade.gov,+49 30 8305 1949,+49 30 8305 1940
GM-CS EMEA-Field-Nordics-Oslo,NO,null,"American Embassy,U.S. Commercial Service,Morgedalsvegen 36,0244 Oslo,Norway",office.oslo@trade.gov,n/a,(47) 21 30 88 66
GM-CS EUR-Field-Italy-Rome,IT,null,"American Embassy,U.S. Commercial Service,Via Vittorio Veneto 119/A,00187 Rome,Italy",Office.Rome@trade.gov,011-39-06-4674-2113,011-39-06-4674-2382
GM-CS EUR-Field-UK-Dublin,IE,null,"American Embassy,US Commercial Service,42 Elgin Road, Ballsbridge,,Dublin 4",office.dublin@trade.gov,353-1-667-4754,353-1-237-5850
GM-CS WH-Field-Canada-Ottawa,CA,null,"American Embassy,US Commercial Service,490 Sussex Drive,Ottawa, Ontario K1N 1G8",Office.Ottawa@trade.gov,613/238-5999,613/688-5217
GM-CS MEA-Field-NorthAfrica-Cairo,EG,null,"American Embassy,US Commercial Service,8 Kamal El Din Salah St.,Garden City, Cairo,EGYPT",Office.Cairo@trade.gov,011-20-2-795-8368,011-20-2-797-2340
GM-CS EUR-Field-EURASIA-Russia-Moscow,RU,null,"American Embassy,US Commercial Service,Bolshoy Deviatinsky Pereulok, 8,Moscow, 121099",office.Moscow@trade.gov,7-495-728-5585,7-495-728-5580
GM-CS Asia-Field-ASEAN-Bangkok,TH,null,"American Embassy,US Commercial Service,GPF Witthayu, Tower A, Suite 302,93/1 Wireless Road,,Pathumwan, Bangkok 10330",Office.Bangkok@trade.gov,66-2-255-2915,66-2-205-5090
GM-CS EMEA-Field-Nordics-Helsinki,FI,null,"American Embassy,US Commercial Service,Itainen Puistotie 14 B,FIN-00140 Helsinki,Finland",Office.Helsinki@trade.gov,,(358) 9 616 250
GM-CS WH-Field-ARGUR-Montevideo,UY,null,"American Embassy,US Commercial Service,Lauro Muller 1776,Montevideo 11200,Uruguay",Office.Montevideo@trade.gov,598-2 418-8581,598-21770 2322
GM-CS EUR-Field-Benelux-Brussels,BE,null,"American Embassy,US Commercial Service,Regentlaan 27 Boulevard du Regent,1000 Brussels,Belgium",Office.Brussels@trade.gov,+32 2 512 3644,+32 2 811 4496
GM-CS EUR-Field-Balkans-Budapest,HU,null,"American Embassy,US Commercial Service,Szabadsag ter 12.,H-1054 Budapest",Office.Budapest@trade.gov,011-36-1-475-4205,011-36-1-475-4090
GM-CS Asia-Field-ASEAN-Jakarta,ID,null,"American Embassy,US Commercial Service,World Trade Center 6, 3rd Floor,Jl. Jendral Sudirman Kav. 29-31,Jakarta 12920",office.jakarta@trade.gov,(62-21) 526-2855,(62-21) 526-2850
GM-CS Asia-Field-Taiwan-Taipei,TW,null,"American Institute in Taiwan,32nd Floor,333 Keelung Road Section 1,Suite 3207,Taipei 110",Office.Taipei@trade.gov,+886-2-2757-7162,+886-2-2720-1550
GM-CS WH-Field-ANDPAN-PanamaCity,PA,null,"Antigua Base de Clayton,Edificio 783,Calle Demetrio Basilio Lakas,Panama, Rep. de Panama",John.Coronado@trade.gov,(507) 317-5573,(507) 317-5000
GM-CS EUR-Field-Turkey-Ankara,TR,null,"ASO Building,193 Ataturk Bulvari,06600 Kavaklidere,Ankara Turkey",Office.Ankara@trade.gov,(90) 312 428-8760,(90) 312 455-5555
GM-CS USA-Field-Southern-Atlanta,US,GA,"Atlanta U.S. Export Assistance Center,230 Peachtree Street, Suite 1725,Atlanta, GA  30303,http://www.export.gov/georgia/",Office.Atlanta@trade.gov,404-730-4819,404-730-2704
GM-CS WH-Field-Brazil-BeloHorizonte,BR,null,"Av. Contorno, 4520 - 2nd floor,Funcionarios,30110-028 Belo Horizonte (MG),Brazil",Office.BeloHorizonte@trade.gov,+55 31 3338-4007,+55 31 3338-4000
GM-CS WH-Field-Brazil-Rio,BR,null,"Av. Presidente Wilson, 147 / 4º Andar,Rio De Janeiro  RJ  20030-020",Office.riodejaneiro@trade.gov,55-21-3823-2424,55-21-3823-2000
GM-CS USA-Field-MidAtlantic-Baltimore,US,MD,"Baltimore U.S. Export Assistance Center,300 West Pratt St., Suite 300,Baltimore, MD  21201,http://www.export.gov/maryland/",office.baltimore@trade.gov,410-962-4529,410-962-4539
GM-CS USA-Field-Southern-Birmingham,US,AL,"Birmingham U.S. Export Assistance Center,950 22nd Street North, Suite 773,Birmingham, AL  35203-5309,http://www.export.gov/alabama/",Robert.Stackpole@trade.gov,205-731-0076,205-731-1331
GM-CS USA-Field-PacificNorth-Boise,US,ID,"Boise U.S. Export Assistance Center,700 W. State St., 2nd Floor,Boise, ID 83720,http://www.export.gov/idaho",Amy.Benson@trade.gov,208-334-2631,208-364-7791
GM-CS USA-Field-NorthEast-Boston,US,MA,"Boston U.S. Export Assistance Center,JFK Federal Building,55 New Sudbury St., Suite 1826A,Boston, MA 02203,http://www.export.gov/Massachusetts/",Office.Boston@trade.gov,617-565-4313,617-565-4301
GM-CS USA-Field-MidAtlantic-Charlotte,US,NC,"Charlotte U.S. Export Assistance Center,521 E. Morehead St., Suite 435,Charlotte, NC 28202,http://www.export.gov/northcarolina/",greg.sizemore@trade.gov,704-332-2681,704-333-4886
GM-CS USA-Field-GreatLakes-Cincinnati,US,OH,"Cincinnati U.S. Export Assistance Center,36 E. 7th St., Suite 2025,Cincinnati, OH 45202,http://www.export.gov/ohio/southernohio/",Marcia.Brandstadt@trade.gov,513-684-3200,513-684-2947
GM-CS Asia-Field-ANZ-NewZealand-Auckland,NZ,null,"Citibank Building,23 Customs Street East,Level 3,Auckland",office.auckland@trade.gov,011-649-302-3156,011-649-309-8079
GM-CS USA-Field-GreatLakes-Columbus,US,OH,"Columbus U.S. Export Assistance Center,401 N. Front St., #200,Columbus, OH 43215,http://export.gov/ohio/centralohio/index.asp",roberta.ford@trade.gov,614-365-9598,614-365-9510
GM-CS MEA-Field-NorthAfrica-Beirut,LB,null,"Commercial Section,American Embassy,PO Box 70-480,Awkar, Lebanon",Naaman.Tayyar@trade.gov,961-4-541-788,961-4-544-860
GM-CS EUR-Field-RSCO-Bucharest,RO,null,"Commercial Section,U.S. Embassy,4-6, Dr. Liviu Librescu Blvd.,,District 1, Bucharest 015118,,Romania",office.bucharest@trade.gov,(40-21) 316-0690,by pouch using the above Mailing address.
GM-CS EMEA-Field-Nordics-Copenhagen,DK,null,"Commercial Service Copenhagen,Dag Hammarskjölds Alle 24,DK-2100 Copenhagen O",office.copenhagen@trade.gov,n/a,011-45-33417315
GM-CS USA-Field-GreatLakes-Louisville,US,KY,"CS Louisville,601 W. Broadway, Room 634B,Louisville, KY 40202,http://www.export.gov/kentucky/",Peggy.Pauley@trade.gov,502-582-6573,502-582-5066
GM-CS USA-Field-GreatLakes-Detroit,US,MI,"Detroit U.S. Export Assistance Center,211 W. Fort Street, Suite 1310, Detroit,MI 48226,http://www.export.gov/michigan",Sara.Coulter@trade.gov,313-226-3073,313-226-3006
GM-CS USA-Field-GreatLakes-Pontiac,US,MI,"East Michigan U.S. Export Assistance Center,1200 N Telegraph Rd,Administrative Annex 1, Building 47 West,Pontiac, MI 48341,http://www.export.gov/michigan/",Richard.Corson@Trade.gov,248-975-9606,248-975-9600
GM-CS USA-Field-Southwest-ElPaso,US,TX,"El Paso World Trade Center,9570 Pan American Drive,El Paso, TX 79927,https://export.gov/texas/elpaso",Robert.Queen@trade.gov,915-858-8827,915-929-6971
GM-CS WH-Field-CAFTA-Tegucigalpa,HN,null,"Embajada Americana,U.S. Commercial Service,Avenida La Paz,Tegucigalpa M.D.C., Honduras",Office.Tegucigalpa@trade.gov,,011-504-2236-9320
GM-CS WH-Field-ANDPAN-Bogota,CO,null,"Embajada de los Estados Unidos de America,Oficina Comercial,Carrera 45 No 24B-27,Bogota, D.C. COLOMBIA",Office.Bogota@trade.gov,011 571 275 4575 / 275 4575,011 571 275 2519
GM-CS MEA-Field-Israel-TelAviv,IL,null,"Embassy of the United States of America,71 Hayarkon Street,Tel Aviv 6343229",office.telaviv@trade.gov,+972-3-519-8530,+972-3 -519-8500
GM-CS EUR-Field-GEAUS-Bratislava,SK,null,"Embassy of the United States of America,U.S. Commercial Service,Hviezdoslavovo nam.5,811 02 Bratislava",Office.Bratislava@trade.gov,+421 2 5922 3345,+421 2 5922 3222
GM-CS EMEA-Field-Nordics-Stockholm,SE,null,"Embassy of the United States,US Commercial Service,Dag Hammarskjölds Väg 31,SE -115 89, Stockholm,SWEDEN",Stockholm.office@trade.gov,N/A,46-8-783-5346
GM-CS USA-Field-Southern-FortLauderdale,US,FL,"Fort Lauderdale U.S. Export Assistance Center,1850 Eller Drive, Suite 401,Fort Lauderdale, FL 33316,http://www.export.gov/florida/",Office.Miami@trade.gov,954-356-6644,954-356-6640
GM-CS USA-Field-MidAtlantic-Greensboro,US,NC,"Greensboro U.S. Export Assistance Center,330 S. Greene Street, Suite 303,Greensboro, NC 27401,http://www.export.gov/northcarolina",Stephanie.Heckel@trade.gov,336-333-5158,336-333-5345
GM-CS USA-Field-MidAtlantic-Greenville,US,SC,"Greenville U.S. Export Assistance Center,Buck Mickel Center at Greenville Technical College,216 S. Pleasantburg Dr., Suite 243,Greenville, SC 29607,http://www.export.gov/southcarolina/",Shannon.Christenbury@trade.gov,864-250-6729,864-250-8429
GM-CS MEA-Field-Israel-Jerusalem,IL,null,"Ground Floor,19 Keren Hayesod Street,91008  JERUSALEM",office.jerusalem@trade.gov,(972-2) 623-5132,(972-2) 625-5201
GM-CS USA-Field-PacificSouth-Honolulu,US,HI,"Hawaii U.S. Export Assistance Center,Foreign Trade Zone #9,521 Ala Moana Blvd., Rm. 214,Honolulu, HI 96813,http://www.export.gov/hawaii/",John.Holman@trade.gov,808-522-8045,808-522-8040
GM-CS USA-Field-Southwest-Houston,US,TX,"Houston U.S. Export Assistance Center,1919 Smith St., Suite 1026,Houston, TX  77002,http://www.export.gov/texas/houston/",Office.Houston@trade.gov,281-228-5663,281-228-5650
GM-CS USA-Field-GreatLakes-Indianapolis,US,IN,"Indianapolis U.S. Export Assistance Center,46 E. Ohio Street,Suite 508,Indianapolis, IN 46204,http://www.export.gov/indiana",Mark.Cooper@trade.gov,317-221-0120,317-226-6153
GM-CS Asia-Field-India-Bangalore,IN,null,"J.W. Marriott Hotel, 9th Floor,,24/1, Vittal Mallya Road,,Ashok Nagar, Bengaluru 560001, India",office.bengaluru@trade.gov,+91 80 2227 6405,+91 80 2227 6401
GM-CS USA-Field-Southern-Jacksonville,US,FL,"Jacksonville U.S. Export Assistance Center,3 Independent Drive,Jacksonville, FL 32202,http://www.export.gov/florida",Jorge.Arce@trade.gov,904-232-1271,904-232-1270
GM-CS MEA-Field-Africa-Maputo,MZ,null,"JAT Complex 3, 3rd Floor,Maputo",Tamarind.Murrietta@trade.gov,,258 21 35 54 18
GM-CS USA-Field-GreatLakes-Knoxville,US,TN,"Knoxville U.S. Export Assistance Center,17 Market Square, #201,Knoxville, TN  37902-1405,http://www.export.gov/tennessee/knoxville",Robert.Leach@trade.gov,865-545-4435,865-545-4637
GM-CS USA-Field-Southern-LittleRock,US,AR,"Little Rock U.S. Export Assistance Center,425 West Capitol Ave., Suite 425,Little Rock, AR 72201,http://www.export.gov/arkansas/",Office.LittleRock@trade.gov,501-324-7380,501-324-5794
GM-CS USA-Field-GreatLakes-Memphis,US,TN,"Memphis U.S. Export Assistance Center,22 North Front Street, Suite 200,Memphis, TN  38103,http://export.gov/tennessee/memphis",Office.Memphis@trade.gov,901-543-3510,901-544-0930
GM-CS USA-Field-NorthEast-Middletown,US,CT,"Middletown U.S. Export Assistance Center,213 Court St., Suite 903,Middletown, CT  06457-3382,http://www.export.gov/connecticut/",Anne.Evans@trade.gov,860-638-6970,860-638-6950
GM-CS USA-Field-MidWest-Minneapolis,US,MN,"Minneapolis U.S. Export Assistance Center,330 2nd Avenue South, Suite 410,Minneapolis, MN 55401,http://www.export.gov/minnesota/",Ryan.Kanne@trade.gov,612-348-1650,612-348-1638
GM-CS USA-Field-Southern-Jackson,US,MS,"Mississippi U.S. Export Assistance Center,1230 Raymond Road, Box 600,Jackson, MS  39204,http://export.gov/mississippi/",Carol.Moore@trade.gov,601-373-0959,601-373-0773
GM-CS USA-Field-NorthEast-Montpelier,US,VT,"Montpelier U.S. Export Assistance Center,PO Box 605,87 State Street, Room 205,Montpelier, VT  05601,http://www.export.gov/vermont",Susan.Murray@trade.gov,802-828-3258,802-828-4508
GM-CS USA-Field-MidWest-Fargo,US,ND,"NDSU Agribusiness and Applied Economics Department at Barry Hall,811 Second Avenue North,Suite 436,Fargo, ND 58102,http://www.export.gov/northdakota",heather.ranck@trade.gov,701-540-0262,701-239-5080
GM-CS China-Field-China-Chengdu,CN,null,"No. 4,  Lingshiguan Road,Section 4, Renmin Nan Lu,Chengdu, China 610041",Office.Chengdu@trade.gov,+86 28 85589221,+86 28 85583992
GM-CS USA-Field-NorthEast-Newark,US,NJ,"Northern New Jersey U.S. Export Assistance Center,20 Washington Place, Suite 615,Newark, NJ 07102,http://www.export.gov/newjersey",Office.Newark@trade.gov,973-645-4783,973-645-4682
GM-CS USA-Field-PacificNorth-Oakland,US,CA,"Oakland U.S. Export Assistance Center,1301 Clay St., Suite 630N,Oakland, CA 94612,http://export.gov/california/oakland",Rod.Hirsch@trade.gov,510-273-7352,510-273-7350
GM-CS USA-Field-Southern-OklahomaCity,US,OK,"Oklahoma City U.S. Export Assistance Center,301 NW 63rd St., Suite 420,Oklahoma City, OK 73116,http://www.export.gov/oklahoma",office.oklahomacity@trade.gov,405-608-4211,405-608-5302
GM-CS USA-Field-Southern-Orlando,US,FL,"Orlando U.S. Export Assistance Center,3201 East Colonial Drive, Suite A-20,Orlando, FL 32803,http://www.export.gov/florida",office.orlando@trade.gov,407-420-4425,"407-420-4848, ext. 260"
GM-CS USA-Field-MidWest-Peoria,US,IL,"Peoria U.S. Export Assistance Center,922 N. Glenwood Ave., Jobst Hall, Rm. 141,Peoria, IL 61606,http://export.gov/illinois/",Elizabeth.Ahern@trade.gov,309-671-7818,309-671-7815
GM-CS USA-Field-MidAtlantic-Philadelphia,US,PA,"Philadelphia U.S. Export Assistance Center,One Penn Center,1617 John F. Kennedy Blvd., Suite 1580,Philadelphia, PA 19103,http://www.export.gov/pennsylvania/philadelphia/",Office.Philadelphia@trade.gov,215-597-6123,215-597-6101
GM-CS USA-Field-Southwest-Phoenix,US,AZ,"Phoenix U.S. Export Assistance Center,2828 N Central Ave, Suite 800,Phoenix, AZ 85004,http://www.export.gov/arizona",Office.Phoenix@trade.gov,602-745-7210,602-640-2513
GM-CS MEA-Field-SaudiArabia-Dhahran,SA,null,"Prince Faisal bin Fahad St., between Aramco HQ and the old Dhahran Airport,Dhahran,P.O. Box 38955, Dhahran (Doha) 31942",Office.Dhahran@trade.gov,+966-(0)13-330-2190,+966-(0)13-330-3200
GM-CS USA-Field-NorthEast-Providence,US,RI,"Providence U.S. Export Assistance Center,315 Iron Horse Way, Suite 101,Providence, RI  02908,http://www.export.gov/rhodeisland/",keith.yatsuhashi@trade.gov,401-528-5067,401-528-5104
GM-CS USA-Field-MidAtlantic-Raleigh,US,NC,"Raleigh US Export Assistance Center,10900 World Trade Blvd., Suite 110,Raleigh, NC 27617,http://www.export.gov/northcarolina/",greg.sizemore@trade.gov,919-281-2754,919-281-2750
GM-CS USA-Field-PacificSouth-Reno,US,NV,"Reno U.S. Export Assistance Center,c/o Reno Sparks Chamber of Commerce,449 S. Virginia, 2nd Floor,Reno, NV 89501,http://www.export.gov/nevada/reno",andrew.edlefsen@trade.gov,775-784-5343,775-784-5342
GM-CS USA-Field-MidWest-Rockford,US,IL,"Rockford Illinois U.S. Export Assistance Center,327 South Church Street, Suite 1600,Rockford, IL  61101,http://export.gov/illinois/",Office.Chicago@trade.gov,312-353-8120,312-353-8040
GM-CS WH-Field-Brazil-Recife,BR,null,"Rua Gonçalves Maia, 163 - Boa Vista,50070-060 - Recife – PE",Office.Recife@trade.gov,55-81-3231-1906,55-81-3416-3075
GM-CS WH-Field-Brazil-SaoPaulo,BR,null,"Rua Henri Dunant, 700,Chacara Santo Antonio,04709-110 - Sao Paulo - SP,Brazil",Office.SaoPaulo@trade.gov,55/11/3250-5399,55/11/3250-5172
GM-CS MEA-Field-Africa-Luanda,AO,null,"Rua Houari Boumedienne #32,Luanda",everett.wakai@trade.gov,N/A,244-222-641-000
GM-CS USA-Field-PacificNorth-Sacramento,US,CA,"Sacramento U.S. Export Assistance Center,1410 Ethan Way, Ste. 131 N,Sacramento, CA 95825,http://www.export.gov/california/sacramento/",George.Tastard@trade.gov,916-566-7123,916-566-7170
GM-CS USA-Field-PacificNorth-SaltLakeCity,US,UT,"Salt Lake City U.S. Export Assistance Center,350 S. Main St., Suite 462,Salt Lake City, UT 84101,http://www.export.gov/utah/",office.saltlakecity@trade.gov,801-524-3072,801-524-3070
GM-CS USA-Field-Southwest-SanAntonio,US,TX,"San Antonio U.S. Export Assistance Center,615 E. Houston Street, Suite 207,San Antonio, TX 78205,http://www.export.gov/texas/sanantonio/",Daniel.Rodriguez@Trade.gov,210-472-4019,210-472-4020
GM-CS USA-Field-PacificSouth-SanDiego,US,CA,"San Diego U.S. Export Assistance Center,9449 Balboa Avenue, Suite 111,San Diego, CA  92123,http://www.buyusa.gov/sandiego/",Matt.Andersen@trade.gov,858-467-7043,858-467-7032
GM-CS USA-Field-PacificNorth-SanFrancisco,US,CA,"San Francisco U.S. Commercial Service,75 Hawthorne St.,2nd Floor, Suite 2500,San Francisco, CA 94105,http://export.gov/california/sanfrancisco",office.sanfrancisco@trade.gov,415-705-2299,415-705-2300
GM-CS USA-Field-PacificNorth-SanJose,US,CA,"San Jose (Silicon Valley) U.S. Export Assistance Center,55 South Market St., Suite 1040,San Jose, CA  95113,http://export.gov/california/sanjose",Joanne.Vliet@trade.gov,408-535-2758,408-535-2757
GM-CS USA-Field-Southern-Savannah,US,GA,"Savannah U.S. Export Assistance Center,111 E. Liberty St., Suite 202,Savannah, GA 31401,http://www.export.gov/georgia/",Todd.Gerken@trade.gov,912-652-4675,912-652-4204
GM-CS USA-Field-PacificNorth-Seattle,US,WA,"Seattle U.S. Export Assistance Center,2001 6th Avenue, Suite 2610,Seattle, WA 98121,http://export.gov/Washington/seattle/",Office.Seattle@trade.gov,206-553-7253,206-553-5615
GM-CS WH-Field-Brazil-Brasilia,BR,null,"SES - Av. das Nações, Quadra 801, Lote 03,Brasilia - DF,70403-900",Office.brasilia@trade.gov,55-61-3312-7656,55-61-3312-7418
GM-CS China-Field-China-Shanghai,CN,null,"Shanghai Center,Suite 631, East Tower,1376 Nanjing Xi Lu,Shanghai, China  200040",office.shanghai@trade.gov,011-86-21-6279-7639,011-86-21-6279-7630
