URL,Site Name,Site Title,CITY,Office,Group,Phase,id,post,office_name,country,state,address,email,fax,mail_instructions,phone,post_type,X13
/sites/GM/USA/PacificNorth/Anchorage,Anchorage,Anchorage,Anchorage,GM-CS USA-Field-PacificNorth-Anchorage,USA-Field-PacificNorth-Anchorage_AllUsers,GM-USA,97c2d541d409913bfba6c5ece6fc1d4d56bd01f5,Anchorage,U.S. Commercial Service - Alaska,US,AK,"222 West 7th Avenue, Suite 524,Anchorage, AK 99513,http://www.export.gov/alaska/",Debra.Franklin@trade.gov,,,907-271-6237,D,
/sites/GM/USA/PacificSouth/NewportBeach,Irvine,Irvine,Irvine,GM-CS USA-Field-PacificSouth-NewportBeach,USA-Field-PacificSouth-NewportBeach_AllUsers,GM-USA,d15f7ac9d58c501f99d51c45645e9e0a9912b1b0,Irvine,Irvine (Newport Beach) U.S. Export Assistance Center,US,CA,"2302 Martin Court, Suite 315,Irvine, CA 92612,http://export.gov/california/irvine",OfficeIrvine@trade.gov,949-660-1338,,949-660-1688,D,
/sites/GM/USA/MidWest/Chicago,Chicago,Chicago,Chicago,GM-CS USA-Field-MidWest-Chicago,USA-Field-MidWest-Chicago_AllUsers,GM-USA,d1f26ee57885cb0e58c0e9f982c31bd90586e8bd,Chicago,Chicago U.S. Export Assistance Center,US,IL,"233 North Michigan Avenue,Suite 260,Chicago, IL 60601,http://export.gov/illinois",Office.Chicago@trade.gov,312-353-8120,,312-353-8040,D,
/sites/GM/USA/Northeast/NewYork,New-York,New York,New York,GM-CS USA-Field-NorthEast-NewYork,USA-Field-NorthEast-NewYork_AllUsers,GM-USA,5914b8d9ed8d1911cdd9cfaece6be527c3f003da,New York,U.S. Commercial Service - New York,US,NY,"290 Broadway, Suite 1312,New York, NY 10007,http://www.export.gov/newyork/",Office.NewYork@trade.gov,212-809-2687,,212-809-2675,D,
/sites/GM/Asia/Pakistan/Karachi,Karachi,Karachi,Karachi,GM-CS Asia-Field-Pakistan-Karachi,Asia-Field-PakistanKarachi_AllUsers,GM-International,b5adf7ddc84afb9fcd693ac1e2617fa32f305779,Karachi,Karachi,PK,null,"3, 4, 5, New TPX Area, Mai Kolachi Road,,Karachi, Pakistan.",Malik.Attiq@trade.gov,92-21-3561-2413,Mail care of SCO in Islamabad,92-21-3527-5017,F,
/sites/GM/EUR/EURASIA/Kiev,Ukraine,Ukraine,Kiev,GM-CS EUR-Field-EURASIA-Kiev,GM-CS_EUR-Field-EURASIA-Kiev_AllUsers,GM-International,1d47e31837d376ef1c10083a244f8a51a3d75c8f,Kiev,Kiev,UA,null,"4,Igor Sikorsky Street (formerly Tankova St.),Kyiv, Ukraine 04112",office.kiev@trade.gov,380 (44) 521-5727,For expedited delivery - use courier addressed to our international address.,380 (44) 521-5244,F,
/sites/GM/USA/Northeast/Rochester,Rochester,Rochester,Rochester,GM-CS USA-Field-NorthEast-Rochester,USA-Field-NorthEast-Rochester_AllUsers,GM-USA,d7b378dda3b52517d4f0a8ada573ffbbc98ae989,Rochester,U.S. Commercial Service - Rochester,US,NY,"400 Andrews St., Suite 300,Rochester, NY  14604,http://www.export.gov/newyork/bflorochsyr",Timothy.McCall@trade.gov,585-423-7570,,585-399-7065,D,
/sites/GM/USA/MidAtlantic/Richmond,Richmond,Richmond,Richmond,GM-CS USA-Field-MidAtlantic-Richmond,USA-Field-MidAtlantic-Richmond_AllUsers,GM-USA,f420088ed12b3ceabac3b67d2fa4b3c71b841500,Richmond,Richmond U.S. Export Assistance Center,US,VA,"400 N. 8th St., Suite 1028,Richmond, VA  23219,http://www.export.gov/virginia",joshua.kaplan@trade.gov,,,804-461-9324,D,
/sites/GM/Asia/Taiwan/Kaohsiung,Kaohsiung,Kaohsiung,Kaohsiung,GM-CS Asia-Field-Taiwan-Kaohsiung,Asia-Field-TaiwanTaipei_AllUsers,GM-International,a7d179826567260bb0549302488c47a104b8177b,Kaohsiung,American Institute in Taiwan - Kaohsiung,TW,null,"5 FL. No. 88, Chenggong 2nd Road, Kaohsiung 80661, Taiwan",Office.Kaohsiung@trade.gov,88673380551,,88673355006 Ext. 6120,F,
/sites/GM/China/Shenyang,Shenyang,Shenyang,Shenyang,GM-CS China-Field-China-Shenyang,China-Field China-Shenyang_AllUsers,GM-International,31ee52e7cc864d4776ddb422731ed92789bffe67,Shenyang,Shenyang,CN,null,"52 Shi Si Wei Road, Heping District,Shenyang, 110003",Taylor.Moore@trade.gov,011-86-24-2322-2206,,011-86-24-2322-1198,F,
/sites/GM/Asia/India/Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,GM-CS Asia-Field-India-Ahmedabad,Asia-Field-IndiaAhmedabad_AllUsers,GM-International,c8137f708db3706016fbc9b661ec137b33444ec1,Ahmedabad,Ahmedabad,IN,null,"5th Floor, Radisson Blu Hotel, Panchvati Cross Road,Off. C G Road, Ambawadi - 380 006",office.ahmedabad@trade.gov,+91 79 2656 0763,,+91 79 2656 5210,F,
/sites/GM/China/Guangzhou,Guangzhou,Guangzhou,Guangzhou,GM-CS China-Field-China-Guangzhou,China-Field China-Guangzhou_AllUsers,GM-International,f2e20cfe3c00f2f7261ff38ad66446b0d3f09e07,Guangzhou,Guangzhou,CN,null,"American Consulate General Guangzhou,US Commercial Service,NO.43 Hua Jiu Road, Zhujian New Town,Guangzhou, 510623,China",office.guangzhou@trade.gov,0086-20-3814-5310,Please mail via courier to street address if possible.  Packages send to Washington mailing address takes at least two weeks to arrive.,0086-20-3814-5000,F,
/sites/GM/China/HongKong,Hong-Kong,Hong Kong,Hong Kong,GM-CS China-Field-HongKong,GM-CS China-Field-HongKong_AllUsers,GM-International,2a273be9fa803a4cde8e13a28900ae967bf0cd77,Hong Kong,Hong Kong,HK,null,"American Consulate General,U.S. Commercial Service,26 Garden Road, Central,Hong Kong",office.hongkong@trade.gov,011-852-2845-9800,"For courier delivery, use the street address.  For sending regular mail or pouch, use the mailing address from U.S.",011-852-2521-1467,F,
/sites/GM/EUR/Germany/Frankfurt,Frankfurt,Frankfurt,Frankfurt,GM-CS EUR-Field-GEAUS-Germany-Frankfurt,GM-CS_EUR-Field-GEAUS-Germany-Frankfurt_AllUsers,GM-International,d956d71f74c151aab435451558f8262bca0cc82b,Frankfurt,Frankfurt,DE,null,"American Consulate General,U.S. Commercial Service,Giessener Str. 30,60435 Frankfurt,Germany,http://www.export.gov/germany/",Office.Frankfurt@trade.gov,+49 69 7535 3171,,+49 69 7535 3120,F,
/sites/GM/EUR/Germany/Munich,Munich,Munich,Munich,GM-CS EUR-Field-GEAUS-Germany-Munich,GM-CS_EUR-Field-GEAUS-Germany-Munich_AllUsers,GM-International,de8ce6f858763cbdbefc697cd1430b74f2c01c5f,Munich,Munich,DE,null,"American Consulate General,U.S. Commercial Service,Koeniginstr. 5,80539 Munich",office.munich@trade.gov,+49 89 28 52 61,,+49 89 2888 754,F,
/sites/GM/MEA/Gulf/UAE/Dubai,Dubai,Dubai,Dubai,GM-CS MEA-Field-Gulf-UAE-Dubai,GM-CS_MEA-Field-Gulf-UAE-Dubai_AllUsers,GM-International,39d133861d4865d795c8aeb0296684499c3a5a94,Dubai,Dubai,AE,null,"American Consulate General,U.S. Commercial Service,Umm Hurair 1, Bur Dubai,Dubai, U.A.E.",Office.Dubai@trade.gov,+971-4-354-7090,Please allow 4-6 weeks for pouch delivery.,+971-4-309-4000,F,
/sites/GM/EUR/Italy/Milan,Milan,Milan,Milan,GM-CS EUR-Field-Italy-Milan,GM-CS_EUR-Field-Italy-Milan_AllUsers,GM-International,9b8a1402bc426cb4d34fa4ad6970a600bd992517,Milan,Milan,IT,null,"American Consulate General,U.S. Commercial Service,Via Principe Amedeo 2,20121 Milan,Italy",Office.Milan@trade.gov,011-39-02-659-6561,,011-39-02-626-8851,F,
/sites/GM/MEA/Africa/Lagos,Nigeria,Nigeria,Lagos,GM-CS MEA-Field-Africa-Lagos,GM-CS_MEA-Field-Africa-Lagos_AllUsers,GM-International,dca7a63ce85afd8c361fbb236b494e640d96cc5e,Lagos,Lagos,NG,null,"American Consulate General,US Commercial Service,2 Walter Carrington Crescent, Victoria Island,Lagos, Nigeria",Office.Lagos@trade.gov,N/A,"U.S. Mail, Courier services (e.g. Fedex, UPS) accepted.   Package size/weight restrictions.",011-234-1 460-3581,F,
/sites/GM/Asia/Australia/Perth,Perth,Perth,Perth,GM-CS Asia-Field-ANZ-Australia-Perth,Asia-Field-ANZ-AustraliaPerth_AllUsers,GM-International,5f89935fcd568697c731608c3f74a47ffb680785,Perth,Perth,AU,null,"American Consulate General,US Commercial Service,Level 4, 16 St. Georges Terrace,Perth WA 6000 Australia,http://www.export.gov/australia",office.australia@trade.gov,011-61-8-9231-9444,,011-61-8-6144-5149,F,
/sites/GM/Asia/Australia/Sydney,Sydney,Sydney,Sydney,GM-CS Asia-Field-ANZ-Australia-Sydney,Asia-Field-ANZ-AustraliaSydney_AllUsers,GM-International,bcf911b0c460353ff6088ccb413a9e40516e4f4c,Sydney,Sydney,AU,null,"American Consulate General,US Commercial Service,Level 59, MLC Centre,19-29 Martin Place,Sydney NSW 2000",office.australia@trade.gov,,As above. Use street address if sending material via courier.,011-61-2-9373-9202,F,
/sites/GM/EUR/Germany/Dusseldorf,Dusseldorf,Dusseldorf,Dusseldorf,GM-CS EUR-Field-GEAUS-Germany-Dusseldorf,GM-CS_EUR-Field-GEAUS-Germany-Dusseldorf_AllUsers,GM-International,69e9590e5b14b1adaa0ab1ecb9987778ab6fe605,Dusseldorf,Dusseldorf,DE,null,"American Consulate General,US Commercial Service,Willi-Becker-Allee 10,40227 Dusseldorf",Office.Dusseldorf@trade.gov,+49 211 737 767 67,,+49 211 737 767 0,F,
/sites/GM/Asia/Pakistan/Lahore,Lahore,Lahore,Lahore,GM-CS Asia-Field-Pakistan-Lahore,Asia-Field-PakistanLahore_AllUsers,GM-International,5fc56576703015de5ac929c1de8ae95cf9891d4e,Lahore,Lahore,PK,null,"American Consulate,50 Shahrah-E-Bin Badees,Lahore",Aftab.Qamar@trade.gov,92-42-603-4229,Mail APO care of SCO in Islamabad.,92-42-603-4000,F,
/sites/GM/EUR/Lisbon,Portugal,Portugal,Lisbon,GM-CS EUR-Field-SPG-Lisbon,GM-CS-EUR-Field-SPG-Lisbon_AllUsers,GM-International,dbbf2ab2038619ca475b76cf459a50337a529f0c,Lisbon,Lisbon,PT,null,"American Embassy Lisbon,U.S. Commercial Service,Avenida das Forcas Armadas,1649-044 Lisbon",Office.Lisbon@trade.gov,011-351-21-726-8914,"When using courier, please use DHL or UPS to the street address",011-351-21-770 2528 / 727 3300,F,
/sites/GM/Asia/ASEAN/Rangoon,Burma,Burma,Rangoon,GM-CS Asia-Field-ASEAN-Rangoon,Asia-Field-ASEAN-Rangoon_AllUsers,GM-International,b83a869e0331398bba08736bcbd30553049319d5,Rangoon,Rangoon,MM,null,"American Embassy Rangoon,US Commercial Service,110 University Ave,Kamayut Township 11041,Yangon, Myanmar",DesaiMS@state.gov,,,95-1 536-509 x4435,F,
/sites/GM/Asia/Australia/Canberra,Canberra,Canberra,Canberra,GM-CS Asia-Field-ANZ-Australia-Canberra,Asia-Field-ANZ-AustraliaCanberra_AllUsers,GM-International,00d37db202e7324e0f47cfad9671781edfdbb082,Canberra,Canberra,AU,null,"American Embassy,Attn: U.S. Commercial Service,Moonah Place,Yarralumla  ACT 2600,AUSTRALIA",Office.Australia@trade.gov,011-61-2-9221-0573,As above. Use street address if sending material via courier.,011-61-2-9373-9205,F,
/sites/GM/MEA/North/Africa/Amman,Jordan,Jordan,Amman,GM-CS MEA-Field-NorthAfrica-Amman,GM-CS_MEA-Field-NorthAfrica-Amman_AllUsers,GM-International,61ea024cb7c961b8280e6af02dcedddf3a263c03,Amman,Amman,JO,null,"American Embassy,Commercial Section,Umaween Street, Abdoun Area,P.O. Box 354,Amman 11118 Jordan",office.amman@trade.gov,011-962-6-592-0146,Work Week: Sunday - Thursday,011-962-6-590-6632,F,
/sites/GM/Asia/Pakistan/Islamabad,Islamabad,Islamabad,Islamabad,GM-CS Asia-Field-Pakistan-Islamabad,Asia-Field-PakistanIslamabad_AllUsers,GM-International,99cde051c42f17f2c23d6d24ff04928a9873313c,Islamabad,Islamabad,PK,null,"American Embassy,Diplomatic Enclave,Ramna-5,Islamabad, PAKISTAN",Steve.Knode@trade.gov,92-51-282-3981,Use DPO address for regular mail.  FEDEX to the street address.      Work Week: Monday - Friday,92-51-201-4000,F,
/sites/GM/MEA/Gulf/UAE/AbuDhabi,Abu-Dhabi,Abu Dhabi,Abu Dhabi,GM-CS MEA-Field-Gulf-UAE-AbuDhabi,GM-CS_MEA-Field-Gulf-UAE-AbuDhabi_AllUsers,GM-International,0dba6aea47e20a8866f197407714b0d33fa437e7,Abu Dhabi,Abu Dhabi,AE,null,"American Embassy,Embassies District,Plot 38, Sector W59-02,Street No 4,Abu Dhabi, UAE",Office.Abudhabi@trade.gov,971-2-414-2228,Work Week: Sunday - Thursday,971-2-414-2304,F,
/sites/GM/EUR/TheHague,Netherlands,Netherlands,The Hague,GM-CS EUR-Field-Benelux-TheHague,GM-CS_EUR-Field-Benelux-TheHague_AllUsers,GM-International,f9d328aa6f171318833330e510bfde473571cc6b,The Hague,The Hague,NL,null,"American Embassy,John Adams Park 1,2244 BZ Wassenaar",office.netherlands@trade.gov,N/A,,+31-70-3102417,F,
/sites/GM/WH/Mexico/MexicoCity,Mexico-City,Mexico City,Mexico City,GM-CS WH-Field-Mexico-MexicoCity,WH-Field-Mexico-MexicoCity_AllUsers,GM-International,dc2032b1353095dfc8dd152f5f9416a48abeff9b,Mexico City,Mexico City,MX,null,"American Embassy,U.S. Commercial Service - Mexico City,Liverpool 31, Col. Juarez,06600 Mexico, D.F.",Office.MexicoCity@trade.gov,52-55-5080-2199,"All promotional materials for Gold Keys, missions, IPSs, shows, etc. should be sent to the street address using a courier service. Using regular mail or the P.O Box address will delay delivery.  On mailing label, claim ""no commercial value.""",52-55-5080-2000,F,
/sites/GM/Asia/Japan/Tokyo,Tokyo,Tokyo,Tokyo,GM-CS Asia-Field-Japan-Tokyo,Asia-Field-JapanTokyo_AllUsers,GM-International,3db8b73d5f3f83e790c4202f9d6860b91cb2b89a,Tokyo,Tokyo,JP,null,"American Embassy,U.S. Commercial Service,1-10-5 Akasaka, Minato-ku,Tokyo 107-8420",Office.Tokyo@trade.gov,81-3-3224-5064,,81-3-3224-5060,F,
/sites/GM/EUR/Sofia,Bulgaria,Bulgaria,Sofia,GM-CS EUR-Field-RSCO-Bucharest,GM-CS_EUR-Field-Balkans-Sofia_AllUsers,GM-International,31b09b1df35b613b4fcef659f93eae0e49a4fa09,Sofia,Sofia,BG,null,"American Embassy,U.S. Commercial Service,16, Kozyak St.,1408 Sofia,Bulgaria",Office.Sofia@trade.gov,359-2-939-5735,Postage for both Pouch and APO is U.S. domestic mail rate.,359-2-939-5784,F,
/sites/GM/Asia/ASEAN/Singapore,Singapore,Singapore,Singapore,GM-CS Asia-Field-ASEAN-Singapore,Asia-Field-ASEAN-Singapore_AllUsers,GM-International,3dd3393ea410678eb9c0de86cdd649283762a29b,Singapore,Singapore,SG,null,"American Embassy,U.S. Commercial Service,27 Napier Road,Singapore,258508",office.singapore@trade.gov,65-6476-9080,,65-6476-9037,F,
/sites/GM/EUR/Germany/Berlin,Berlin,Berlin,Berlin,GM-CS EUR-Field-GEAUS-Germany-Berlin,GM-CS_EUR-Field-GEAUS-Germany-Berlin_AllUsers,GM-International,d8b3645c9bd48b4e6a2572388ad47380df2674f9,Berlin,Berlin,DE,null,"American Embassy,U.S. Commercial Service,Clayallee 170,14191 Berlin",Office.Berlin@trade.gov,+49 30 8305 1949,Use APO address whenever possible,+49 30 8305 1940,F,
/sites/GM/EUR/Nordics/Oslo,Norway,Norway,Oslo,GM-CS EMEA-Field-Nordics-Oslo,GM-CS_EUR-Field-Nordics-Oslo_AllUsers,GM-International,871b92b1cf8b06b118823a1179ab2a2f8f88dd39,Oslo,Oslo,NO,null,"American Embassy,U.S. Commercial Service,Morgedalsvegen 36,0244 Oslo,Norway",office.oslo@trade.gov,n/a,http://export.gov/norway/,(47) 21 30 88 66,F,
/sites/GM/EUR/Italy/Rome,Rome,Rome,Rome,GM-CS EUR-Field-Italy-Rome,GM-CS_EUR-Field-Italy-Rome_AllUsers,GM-International,7df8b7b065c6550b7f9c5c27b6cecbdcc2162072,Rome,Rome,IT,null,"American Embassy,U.S. Commercial Service,Via Vittorio Veneto 119/A,00187 Rome,Italy",Office.Rome@trade.gov,011-39-06-4674-2113,,011-39-06-4674-2382,F,
/sites/GM/EUR/UK/Dublin,Ireland,Ireland,Dublin,GM-CS EUR-Field-UK-Dublin,GM-CS_EUR-Field-UK-Dublin_AllUsers,GM-International,3aa31f6fa4cf2010b8cb0420d3bd8085af53e3a6,Dublin,Dublin,IE,null,"American Embassy,US Commercial Service,42 Elgin Road, Ballsbridge,,Dublin 4",office.dublin@trade.gov,353-1-667-4754,"For courier delivery, use street address.  For sending regular mail, use mailing address.",353-1-237-5850,F,
/sites/GM/WH/Canada/Ottawa,Ottawa,Ottawa,Ottawa,GM-CS WH-Field-Canada-Ottawa,WH-Field-CanadaOttawa_AllUsers,GM-International,ca0ead9f7d1504712b3428f9028f077db9e74134,Ottawa,Ottawa,CA,null,"American Embassy,US Commercial Service,490 Sussex Drive,Ottawa, Ontario K1N 1G8",Office.Ottawa@trade.gov,613/238-5999,,613/688-5217,F,
/sites/GM/MEA/North/Africa/Cairo,Egypt,Egypt,Cairo,GM-CS MEA-Field-NorthAfrica-Cairo,GM-CS_MEA-Field-NorthAfrica-Cairo_AllUsers,GM-International,a57b661d8533bee084d4d656c61940c128e44617,Cairo,Cairo,EG,null,"American Embassy,US Commercial Service,8 Kamal El Din Salah St.,Garden City, Cairo,EGYPT",Office.Cairo@trade.gov,011-20-2-795-8368,By APO,011-20-2-797-2340,F,
/sites/GM/EUR/EURASIA/Russia/Moscow,Moscow,Moscow,Moscow,GM-CS EUR-Field-EURASIA-Russia-Moscow,GM-CS-EUR-Field-EURASIA-Russia-Moscow_AllUsers,GM-International,23310a2b0d7a8e2f56432b64913f2f170036d383,Moscow,Moscow,RU,null,"American Embassy,US Commercial Service,Bolshoy Deviatinsky Pereulok, 8,Moscow, 121099",office.Moscow@trade.gov,7-495-728-5585,All couriered items should be sent via DHL - DO NOT USE FedEx,7-495-728-5580,F,
/sites/GM/Asia/ASEAN/Bangkok,Thailand,Thailand,Bangkok,GM-CS Asia-Field-ASEAN-Bangkok,Asia-Field-ASEAN-Bangkok_AllUsers,GM-International,5c521de0d16798dca8a7b97de098beac6118940e,Bangkok,Bangkok,TH,null,"American Embassy,US Commercial Service,GPF Witthayu, Tower A, Suite 302,93/1 Wireless Road,,Pathumwan, Bangkok 10330",Office.Bangkok@trade.gov,66-2-255-2915,,66-2-205-5090,F,
/sites/GM/EUR/Nordics/Helsinki,Finland,Finland,Helsinki,GM-CS EMEA-Field-Nordics-Helsinki,GM-CS_EUR-Field-Nordics-Helsinki_AllUsers,GM-International,39e454492df4a3f0b959264237158fec3d8f138e,Helsinki,Helsinki,FI,null,"American Embassy,US Commercial Service,Itainen Puistotie 14 B,FIN-00140 Helsinki,Finland",Office.Helsinki@trade.gov,,,(358) 9 616 250,F,
/sites/GM/WH/Montevideo,Uruguay,Uruguay,Montevideo,GM-CS WH-Field-ARGUR-Montevideo,WH-Field-ARGUR-Montevideo_AllUsers,GM-International,9930fd412388ad2d541356ebef454642766da599,Montevideo,Montevideo,UY,null,"American Embassy,US Commercial Service,Lauro Muller 1776,Montevideo 11200,Uruguay",Office.Montevideo@trade.gov,598-2 418-8581,"Mail sent by courier delivery should be sent to American Embassy, US Commercial Service, Lauro Muller 1776, Montevideo 11200, Uruguay.  All mail sent by regular post or pouch should be sent to US Embassy Montevideo, Unit 4502, APO  AA  34035",598-21770 2322,F,
/sites/GM/EUR/Brussels,Belgium,Belgium,Brussels,GM-CS EUR-Field-Benelux-Brussels,GM-CS_EUR-Field-Benelux-Brussels_AllUsers,GM-International,c5e50f7fbbbeecbaf58adde4de9530286d269441,Brussels,U.S. Commercial Service Brussels,BE,null,"American Embassy,US Commercial Service,Regentlaan 27 Boulevard du Regent,1000 Brussels,Belgium",Office.Brussels@trade.gov,+32 2 512 3644,APO mail should be addressed to SCO,+32 2 811 4496,F,
/sites/GM/EUR/Budapest,Hungary,Hungary,Budapest,GM-CS EUR-Field-Balkans-Budapest,GM-CS_EUR-Field-Balkans-Budapest_AllUsers,GM-International,c4d0ad83cb7d6f44892f073b934092b45e898f82,Budapest,Hungary,HU,null,"American Embassy,US Commercial Service,Szabadsag ter 12.,H-1054 Budapest",Office.Budapest@trade.gov,011-36-1-475-4205,"Please note that if the Washington DC address is used, expect 3-4 weeks for delivery.  For courier service, please use the Budapest address.",011-36-1-475-4090,F,
/sites/GM/Asia/ASEAN/Jakarta,Indonesia,Indonesia,Jakarta,GM-CS Asia-Field-ASEAN-Jakarta,Asia-Field-ASEAN-Jakarta_AllUsers,GM-International,12fdd588d3672d13105eadf3fcabd1ec7744f7f2,Jakarta,Jakarta,ID,null,"American Embassy,US Commercial Service,World Trade Center 6, 3rd Floor,Jl. Jendral Sudirman Kav. 29-31,Jakarta 12920",office.jakarta@trade.gov,(62-21) 526-2855,,(62-21) 526-2850,F,
/sites/GM/Asia/Taiwan/Taipei,Taipei,Taipei,Taipei,GM-CS Asia-Field-Taiwan-Taipei,Asia-Field-TaiwanKaohsiung_AllUsers,GM-International,6d7a60de9ffaf80354ba5bdfa61c477283056798,Taipei,American Institute in Taiwan - Taipei,TW,null,"American Institute in Taiwan,32nd Floor,333 Keelung Road Section 1,Suite 3207,Taipei 110",Office.Taipei@trade.gov,+886-2-2757-7162,,+886-2-2720-1550,F,
/sites/GM/WH/PanamaCity,Panama,Panama,Panama City,GM-CS WH-Field-ANDPAN-PanamaCity,WH-Field-ANDPAN-PanamaCity_AllUsers,GM-International,b4db849dff0b19e1ec95430ac468fc9842a8bdf7,Panama City,Panama City,PA,null,"Antigua Base de Clayton,Edificio 783,Calle Demetrio Basilio Lakas,Panama, Rep. de Panama",John.Coronado@trade.gov,(507) 317-5573,"For courier street address, for regular mail from any post  the mailing address",(507) 317-5000,F,
/sites/GM/EUR/Turkey/Ankara,Ankara,Ankara,Ankara,GM-CS EUR-Field-Turkey-Ankara,GM-CS_EUR-Field-Turkey-Ankara_AllUsers,GM-International,3d833bffbd049d272843f4d631c657d314799082,Ankara,Ankara,TR,null,"ASO Building,193 Ataturk Bulvari,06600 Kavaklidere,Ankara Turkey",Office.Ankara@trade.gov,(90) 312 428-8760,"Official Mail has to be sent using the Diplomatic Pouch address.  Do not write Ankara or Turkey when using DPO address, it may cause mail to be misdirected.",(90) 312 455-5555,F,
/sites/GM/USA/Southern/Atlanta,Atlanta,Atlanta,Atlanta,GM-CS USA-Field-Southern-Atlanta,USA-Field-Southern-Atlanta_AllUsers,GM-USA,814f8931b5218ae5116b8d9181c007b9c10a9b62,Atlanta,Atlanta U.S. Export Assistance Center,US,GA,"Atlanta U.S. Export Assistance Center,230 Peachtree Street, Suite 1725,Atlanta, GA  30303,http://www.export.gov/georgia/",Office.Atlanta@trade.gov,404-730-4819,,404-730-2704,D,
