id,post,office_name,country,state,city,address,email,fax,mail_instructions,phone,post_type
43d57374eaefe21815a8406fed94d58ced623876,San Salvador,El Salvador - Central America,SV,null,San Salvador,"U.S. Embassy (FCS),Final Blvd. Santa Elena, Antiguo Cuscatlan, La Libertad, El Salvador, C.A.",office.sansalvador@trade.gov,(503) 2501-3067 or  2298-0711,"Courier services must be addressed to the local Street Address, Attention FCS Office",(503) 2501-3211,F
54ab98dd99271b5855f8ffc2e6165987af0bc8b1,Santiago,Santiago,CL,null,Santiago,"U.S. Embassy/Department of Commerce,Av. Andres Bello 2800, Las Condes,Santiago, Chile 755-0006",office.santiago@trade.gov,011-56-22-330-3172,Send brochures ONLY via USPS to DPO.  Other methods may result in delay or high customs charges.  Please put PRIORITY for any USPS mail.,011-56-22-330-3316,F
050ee11215e4adbffc226c3a8e4fea205ef7ca50,Santo Domingo,Santo Domingo,DO,null,Santo Domingo,"Ave. República de Colombia No. 57,Arroyo Hondo, Santo Domingo,Dominican Republic",office.santodomingo@trade.gov,1809-922-7739,Use weight and space restrictions for APO.,1809-368-7249,F
e8ca4d6b904a1c25b7b16db544f69127405ee6c9,Sao Paulo,São Paulo,BR,null,Sao Paulo,"Rua Henri Dunant, 700,Chacara Santo Antonio,04709-110 - Sao Paulo - SP,Brazil",Office.SaoPaulo@trade.gov,55/11/3250-5399,,55/11/3250-5172,F
76fa85a6d6406d068d317b9f0fc611f682182ed9,Seoul,Seoul,KR,null,Seoul,"American Embassy,U.S. Commercial Service,188, Sejong-daero, Jongno-gu,Seoul  110-710",Office.Seoul@trade.gov,82-2-739-1628,,82-2-397-4535,F
ddff3ee48971ad92af016e7ecc14ea7960a8f295,Shanghai,Shanghai,CN,null,Shanghai,"Shanghai Center,Suite 631, East Tower,1376 Nanjing Xi Lu,Shanghai, China  200040",office.shanghai@trade.gov,011-86-21-6279-7639,,011-86-21-6279-7630,F
31ee52e7cc864d4776ddb422731ed92789bffe67,Shenyang,Shenyang,CN,null,Shenyang,"52 Shi Si Wei Road, Heping District,Shenyang, 110003",Taylor.Moore@trade.gov,011-86-24-2322-2206,,011-86-24-2322-1198,F
3dd3393ea410678eb9c0de86cdd649283762a29b,Singapore,Singapore,SG,null,Singapore,"American Embassy,U.S. Commercial Service,27 Napier Road,Singapore,258508",office.singapore@trade.gov,65-6476-9080,,65-6476-9037,F
31b09b1df35b613b4fcef659f93eae0e49a4fa09,Sofia,Sofia,BG,null,Sofia,"American Embassy,U.S. Commercial Service,16, Kozyak St.,1408 Sofia,Bulgaria",Office.Sofia@trade.gov,359-2-939-5735,Postage for both Pouch and APO is U.S. domestic mail rate.,359-2-939-5784,F
8505f0416d7cab6e34dd57d4ea6c74059ebe0440,Stockholm,Stockholm,SE,null,Stockholm,"Embassy of the United States,US Commercial Service,Dag Hammarskjölds Väg 31,SE -115 89, Stockholm,SWEDEN",Stockholm.office@trade.gov,N/A,"Clients should note that correspondence sent to the U.S. mailing address takes about 15 days to reach Stockholm.  Time-sensitive materials should be sent either by U.S. mail to the street address, or via courier or express delivery service.",46-8-783-5346,F
bcf911b0c460353ff6088ccb413a9e40516e4f4c,Sydney,Sydney,AU,null,Sydney,"American Consulate General,US Commercial Service,Level 59, MLC Centre,19-29 Martin Place,Sydney NSW 2000",office.australia@trade.gov,,As above. Use street address if sending material via courier.,011-61-2-9373-9202,F
6d7a60de9ffaf80354ba5bdfa61c477283056798,Taipei,American Institute in Taiwan - Taipei,TW,null,Taipei,"American Institute in Taiwan,32nd Floor,333 Keelung Road Section 1,Suite 3207,Taipei 110",Office.Taipei@trade.gov,+886-2-2757-7162,,+886-2-2720-1550,F
776a7e0b239f7f14679b74dd04268e692c417229,Tegucigalpa,Tegucigalpa – GBI Post,HN,null,Tegucigalpa,"Embajada Americana,U.S. Commercial Service,Avenida La Paz,Tegucigalpa M.D.C., Honduras",Office.Tegucigalpa@trade.gov,,,011-504-2236-9320,F
9ce8c88b222d1943a3e6260d05e65d3613028921,Tel Aviv,"Office Tel Aviv, Covering the Israeli market",IL,null,Tel Aviv,"Embassy of the United States of America,71 Hayarkon Street,Tel Aviv 6343229",office.telaviv@trade.gov,+972-3-519-8530,Work Week: Monday - Friday,+972-3 -519-8500,F
f9d328aa6f171318833330e510bfde473571cc6b,The Hague,The Hague,NL,null,The Hague,"American Embassy,John Adams Park 1,2244 BZ Wassenaar",office.netherlands@trade.gov,N/A,,+31-70-3102417,F
3db8b73d5f3f83e790c4202f9d6860b91cb2b89a,Tokyo,Tokyo,JP,null,Tokyo,"American Embassy,U.S. Commercial Service,1-10-5 Akasaka, Minato-ku,Tokyo 107-8420",Office.Tokyo@trade.gov,81-3-3224-5064,,81-3-3224-5060,F
fbe05208857158f3d3718826e0b5bef5f01b4354,Toronto,Toronto,CA,null,Toronto,"U.S. Commercial Service,480 University Avenue, Suite 602,Toronto, Ontario,CANADA  M5G 1V2,Canada Mailing Address: 360 University Avenue,Toronto, Ontario, Canada M5G 1S4",Office.Toronto@trade.gov,(416) 595-5419,,(416) 595-5412,F
9234ee8d3e8399a0b030022a339c05eb935000dd,Tripoli,Libya External Office (LEO),LY,null,Tripoli,null,sarmientogg@state.gov,N/A,Contact Post for appropriate mailing address,unknown,F
73ec2728411fe5148f89c28fbfc22cc2a69d53ee,Vienna,Austria,AT,null,Vienna,"American Embassy,US Commercial Service,Boltzmanngasse 16,A-1091 Vienna",office.vienna@trade.gov,011-43-1-310-6917,"Please use the ""street address"" to mail any time-sensitive materials.  The Diplomatic Postal Office (DPO) uses domestic U.S. Postal Service rates but does not provide express delivery..",011-43-1-313-39-2296,F
193d794fdaf077f7bd4d39ae25779dbf0cd1b31a,Warsaw,Poland,PL,null,Warsaw,"U.S. Commercial Service,American Embassy,IPC Business Center,ul. Koszykowa 54, 4th Floor,00-675 Warsaw",office.warsaw@trade.gov,48 22 621 6327,,48 22 625 4374,F
da46c83159c41ac7013b555d156e182dc17328fa,Wellington,Wellington,NZ,null,Wellington,"U.S. Commercial Service,American Embassy,29 Fitzherbert Terrace,Thorndon, Wellington",Office.Wellington@trade.gov,011-644-473-0770,,011-644-462-6002,F
ba41f5604c453bc4bb47a3a3aec62e343769ea3e,Wuhan,Wuhan,CN,null,Wuhan,"U.S. Commercial Service - Wuhan,47F New World International Trade Tower I,NO. 568, Jianshe Avenue,Hankou, Wuhan, 430022, China",Jing.Wang@trade.gov,86-27-8555-7761,FPO mail will continue to be forwarded VIA Beijing,86-27-8555-7791,F
1104ba40b10a6c5b3842b9860660ad48a6b3f7aa,Zagreb,Zagreb,HR,null,Zagreb,"U.S. Commercial Service,American Embassy,Thomasa Jeffersona 2,10010 Zagreb, Croatia",office.zagreb@trade.gov,011-385-1-661-2446,Please allow three weeks if using the above State Dept pouch address,011-385-1-661-2224,F
424ec5583a789617b7c6ba239e732206c0072aea,Prague,Czech Republic,CZ,null,Prague,"Trziste 15,118 01 Praha 1,Czech Republic",Office.Prague@trade.gov,420-257-02-2810,"For courier/express deliveries, use street address. Mailing address from the U.S. is for official post only, but takes 2-3 weeks for delivery.",420-257-022-434,F
ae30be981912cfa551ef6518610f05c0561e8b37,Paris,Paris,FR,null,Paris,"U.S. Embassy,U.S. Commercial Service,2, avenue Gabriel,75008 Paris cedex 08,France,[office location: 14 bd Haussmann, 4th floor]",office.paris@trade.gov,[33] (0)1 43 12 70 50,"For international mail, please address items to:  U.S. Embassy, U.S. Commercial Service - NEO, 18 avenue Gabriel, 75008 Paris cedex 8.  Note:  Packages will be returned if addressed to the Embassy's physical street address.",[33] (0)1 43 12 70 57,F
00d37db202e7324e0f47cfad9671781edfdbb082,Canberra,Canberra,AU,null,Canberra,"American Embassy,Attn: U.S. Commercial Service,Moonah Place,Yarralumla  ACT 2600,AUSTRALIA",Office.Australia@trade.gov,011-61-2-9221-0573,As above. Use street address if sending material via courier.,011-61-2-9373-9205,F
